episode,workload,seed,rate,cohort,window_start_s,window_end_s,control_admitted_at_window_start,replay_admitted_at_window_start,equivalent_full_incoming_population,replay_arrival_ttft_p90_s,control_arrival_ttft_p90_s,replay_request_tpot_p90_s,control_request_tpot_p90_s,replay_outstanding,control_outstanding,completion_deficit_requests,replay_completed_rps,control_completed_rps,replay_screen_pass,control_screen_pass,replay_exact_coverage,control_exact_coverage,replay_completed_n,control_completed_n
episodes-coding_long-1-replay-7102,coding_long,7102,0.3763566558427036,resident,90,120,8,3,False,0.16379099399999997,0.1582537869,0.03508274096276992,0.03485641572181683,2,2,0,0.4,0.3333333333333333,False,False,1.0,1.0,10,10
episodes-coding_long-1-replay-7102,coding_long,7102,0.3763566558427036,resident,120,150,8,7,False,0.1669221234,0.1832511137,0.03673413603014706,0.03601877506580883,0,0,0,0.4666666666666667,0.4666666666666667,True,True,1.0,1.0,12,12
episodes-coding_long-1-replay-7102,coding_long,7102,0.3763566558427036,resident,150,180,8,7,False,0.159099859,0.157245618,0.03527696027834379,0.03446597721245828,1,1,0,0.36666666666666664,0.36666666666666664,False,False,1.0,1.0,11,11
episodes-coding_long-1-replay-7102,coding_long,7102,0.3763566558427036,resident,60,180,0,0,False,15.210934569600001,0.1711207296,0.03649088922368421,0.03481916832067511,1,1,0,0.38333333333333336,0.38333333333333336,False,False,1.0,1.0,45,45
episodes-coding_long-1-replay-7102,coding_long,7102,0.3763566558427036,incoming,0,60,0,0,False,,,,,0,0,0,0.0,0.0,False,False,0.0,0.0,0,0
episodes-coding_long-1-replay-7102,coding_long,7102,0.3763566558427036,incoming,60,90,0,0,False,20.042144394,0.1477529092,,0.03634383562647059,7,0,7,0.03333333333333333,0.26666666666666666,False,True,1.0,1.0,1,8
episodes-coding_long-1-replay-7102,coding_long,7102,0.3763566558427036,incoming,90,120,8,3,False,0.156278509,0.1472852089,0.03543290457138968,0.03572522510824702,2,0,2,0.43333333333333335,0.26666666666666666,False,True,1.0,1.0,7,8
episodes-coding_long-1-replay-7102,coding_long,7102,0.3763566558427036,incoming,120,150,8,7,False,0.1522482381,0.14212481,0.03477265885345717,0.034499041334736844,5,2,3,0.3333333333333333,0.36666666666666664,False,False,1.0,1.0,10,11
episodes-coding_long-1-replay-7102,coding_long,7102,0.3763566558427036,incoming,150,180,8,7,False,0.135832164,0.1175300211,0.038079862595230524,0.03586443824598954,4,0,4,0.3,0.3333333333333333,False,True,1.0,1.0,7,8
episodes-coding_long-1-replay-7102,coding_long,7102,0.3763566558427036,incoming,60,180,0,0,False,20.8309115684,0.1395313892,0.03695505156089031,0.0359813094981717,4,0,4,0.275,0.30833333333333335,False,True,1.0,1.0,33,37
followups-coding_long-1-replay-7102-w8-burst,coding_long,7102,0.3763566558427036,resident,0,60,0,0,False,0.7223104974,0.7328438132,0.04067892993654618,0.034264816218887495,0,0,0,0.38333333333333336,0.38333333333333336,True,True,1.0,1.0,23,23
followups-coding_long-1-replay-7102-w8-burst,coding_long,7102,0.3763566558427036,resident,60,90,0,0,False,22.2186129345,0.4522653026,0.6572112809491979,0.03418510331880342,2,0,2,0.26666666666666666,0.3333333333333333,False,True,1.0,1.0,8,10
followups-coding_long-1-replay-7102-w8-burst,coding_long,7102,0.3763566558427036,resident,90,120,8,8,True,0.348605498,0.378144831,0.03573136318211619,0.03696190287950581,1,1,0,0.43333333333333335,0.36666666666666664,False,False,1.0,1.0,11,11
followups-coding_long-1-replay-7102-w8-burst,coding_long,7102,0.3763566558427036,resident,120,150,8,8,True,0.4714929798,0.4609412137,0.035476875004644665,0.03543163251273666,0,0,0,0.43333333333333335,0.43333333333333335,True,True,1.0,1.0,12,12
followups-coding_long-1-replay-7102-w8-burst,coding_long,7102,0.3763566558427036,resident,150,180,8,8,True,0.400328363,0.399513274,0.03426033617424243,0.03440541042208223,1,1,0,0.36666666666666664,0.36666666666666664,False,False,1.0,1.0,11,11
followups-coding_long-1-replay-7102-w8-burst,coding_long,7102,0.3763566558427036,resident,60,180,0,0,False,15.303903832000007,0.4541889946,0.04087767554054054,0.03531473038554217,1,1,0,0.375,0.375,False,False,1.0,1.0,45,45
followups-coding_long-1-replay-7102-w8-burst,coding_long,7102,0.3763566558427036,incoming,0,60,0,0,False,,,,,0,0,0,0.0,0.0,False,False,0.0,0.0,0,0
followups-coding_long-1-replay-7102-w8-burst,coding_long,7102,0.3763566558427036,incoming,60,90,0,0,False,24.5261993956,0.447343299,0.03704877952941176,0.033900347038235294,3,0,3,0.16666666666666666,0.26666666666666666,False,True,1.0,1.0,5,8
followups-coding_long-1-replay-7102-w8-burst,coding_long,7102,0.3763566558427036,incoming,90,120,8,8,True,0.2982213989,0.29133854659999997,0.03722698322545455,0.03653149444419192,0,0,0,0.36666666666666664,0.26666666666666666,True,True,1.0,1.0,8,8
followups-coding_long-1-replay-7102-w8-burst,coding_long,7102,0.3763566558427036,incoming,120,150,8,8,True,0.38983670460000003,0.3960628518,0.03579106671190211,0.03549744529,0,0,0,0.43333333333333335,0.43333333333333335,True,True,1.0,1.0,13,13
followups-coding_long-1-replay-7102-w8-burst,coding_long,7102,0.3763566558427036,incoming,150,180,8,8,True,0.3095858827,0.3933089567,0.03528104469168847,0.03405917658542619,0,0,0,0.26666666666666666,0.26666666666666666,True,True,1.0,1.0,8,8
followups-coding_long-1-replay-7102-w8-burst,coding_long,7102,0.3763566558427036,incoming,60,180,0,0,False,23.826071203399998,0.4158604569999999,0.03883899618104575,0.03491738253402778,0,0,0,0.30833333333333335,0.30833333333333335,False,True,1.0,1.0,37,37
