policy,retained_prefill_fraction,deadline_scale,status,safe,rounded_retained_prefill_moved_s,rounded_retained_prefill_target_s,rounded_retained_prefill_ratio,mean_delay,p50_delay,p95_delay,p99_delay,p95_normalized_delay,miss_rate,drain_window_s,retained_prefill_removal_rate_s_per_s,drain_completion_s,network_capacity_pressure,prefill_capacity_pressure,replay_retained_prefill_fraction,state_transfer_retained_prefill_fraction,repair_move_count,repair_move_summary
deadline-aware-m1.0-rounded,0.7,0.25,OK,True,579.2077108433734,579.1614457831324,1.0000798828385036,1.2558200147695733,0.1510688820512769,5.532307692307768,12.982482051282071,0.2832541538461546,0.0,1800.0,0.3217820615796519,1806.8671933471933,0.03682173325128204,0.018065474017281247,0.4399195910325363,0.5600804089674637,0,
mirror-descent-rounded,0.7,0.25,OK,True,593.5421686746988,579.1614457831324,1.0248302489681802,0.4198040284205468,0.05608516243660233,2.1907446063976295,5.532307692307768,0.07302482021325432,0.0,1800.0,0.3297456492637216,1799.080694789082,0.027662063589743578,0.024339783375927952,0.4683338746346218,0.5316661253653784,0,
crossover-greedy,0.7,0.25,OK,True,593.5421686746988,579.1614457831324,1.0248302489681802,0.4198040284205468,0.05608516243660233,2.1907446063976295,5.532307692307768,0.07302482021325432,0.0,1800.0,0.3297456492637216,1799.080694789082,0.027662063589743578,0.024339783375927952,0.4683338746346218,0.5316661253653784,0,
mixed-greedy,0.7,0.25,OK,True,593.5421686746988,579.1614457831324,1.0248302489681802,0.4198040284205468,0.05608516243660233,2.1907446063976295,5.532307692307768,0.07302482021325432,0.0,1800.0,0.3297456492637216,1799.080694789082,0.027662063589743578,0.024339783375927952,0.4683338746346218,0.5316661253653784,0,
replay-only,0.7,0.25,OK,False,579.6395180722891,579.1614457831324,1.0008254559978698,2.6187236081459555,0.056085162436488645,2.1907446063976295,105.49810303217417,0.11964386543741057,0.016317016317016316,1800.0,0.3220219544846051,1977.1011024424026,6.07787274453941e-06,0.12169891687963978,1.0,0.0,0,
state-only,0.7,0.25,OK,True,580.6265060240964,579.1614457831324,1.0025296232192786,2.433156207758062,0.1510688820512769,12.294017094017136,12.294017094017136,0.40980056980057117,0.0,1800.0,0.32257028112449804,1791.686153846154,0.144992905603039,0.0,0.0,1.0,0,
CVXPY-rounded,0.8,0.25,OK,True,661.9296385542169,661.8987951807229,1.0000465983224605,0.5195895034536097,0.056085162436488645,2.1907446063976295,11.905383544530066,0.11216332316382704,0.0,1800.0,0.36773868808567606,1813.5597358557923,0.03073556786324785,0.024339783375927952,0.4868598853734684,0.5131401146265316,0,
repaired-CVXPY-rounded,0.8,0.25,OK,True,661.9296385542169,661.8987951807229,1.0000465983224605,0.5169464712364457,0.056085162436488645,2.1907446063976295,11.905383544530066,0.11216332316382704,0.0,1800.0,0.36773868808567606,1812.4205889701946,0.027662063589743578,0.024339783375927952,0.4868598853734684,0.5131401146265316,1,class5:k0/state->k1/state x1
deadline-aware-m0.8-rounded,0.8,0.25,INFEASIBLE,False,nan,661.8987951807229,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m1.0-rounded,0.8,0.25,INFEASIBLE,False,nan,661.8987951807229,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mirror-descent-rounded,0.8,0.25,OK,True,665.5074698795181,661.8987951807229,1.0054520037278658,0.5101977001715773,0.056085162436488645,2.1907446063976295,13.159771212836667,0.11216332316382704,0.0,1800.0,0.36972637215528786,1818.5132609721575,0.03073556786324785,0.024339783375927952,0.48961857533484754,0.5103814246651525,0,
crossover-greedy,0.8,0.25,OK,True,665.5074698795181,661.8987951807229,1.0054520037278658,0.5101977001715773,0.056085162436488645,2.1907446063976295,13.159771212836667,0.11216332316382704,0.0,1800.0,0.36972637215528786,1818.5132609721575,0.03073556786324785,0.024339783375927952,0.48961857533484754,0.5103814246651525,0,
mixed-greedy,0.8,0.25,OK,True,665.5074698795181,661.8987951807229,1.0054520037278658,0.5101977001715773,0.056085162436488645,2.1907446063976295,13.159771212836667,0.11216332316382704,0.0,1800.0,0.36972637215528786,1818.5132609721575,0.03073556786324785,0.024339783375927952,0.48961857533484754,0.5103814246651525,0,
replay-only,0.8,0.25,OK,False,665.5074698795181,661.8987951807229,1.0054520037278658,2.5044341043352847,0.056085162436488645,2.1907446063976295,96.99317164159046,0.11964386543741057,0.014314928425357873,1800.0,0.36972637215528786,1982.2493284495245,6.07787274453941e-06,0.12169891687963978,1.0,0.0,0,
state-only,0.8,0.25,OK,False,665.5074698795181,661.8987951807229,1.0054520037278658,4.494425946756557,0.1510688820512769,14.048407739500208,137.03777567532,0.35197216373065127,0.03680981595092025,1800.0,0.36972637215528786,1938.5785913640623,0.19311114210826205,0.0,0.0,1.0,0,
CVXPY-rounded,0.9,0.25,OK,True,744.6515662650602,744.6361445783132,1.000020710365538,0.6830356155195811,0.056085162436488645,3.589226341241556,12.418071200959693,0.23928175608277039,0.0,1800.0,0.4136953145917001,1815.2339900633895,0.03073556786324785,0.05829086041134231,0.5438636457772443,0.4561363542227558,0,
repaired-CVXPY-rounded,0.9,0.25,OK,True,744.6515662650602,744.6361445783132,1.000020710365538,0.6771419875981821,0.056085162436488645,3.589226341241556,12.418071200959693,0.23928175608277039,0.0,1800.0,0.4136953145917001,1812.5880143909542,0.027662063589743578,0.0641479858829256,0.5438636457772443,0.4561363542227558,63,class0:k1/replay->k2/replay x60; class3:k1/replay->k2/replay x2; class5:k0/state->k1/state x1
deadline-aware-m0.8-rounded,0.9,0.25,INFEASIBLE,False,nan,744.6361445783132,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m1.0-rounded,0.9,0.25,INFEASIBLE,False,nan,744.6361445783132,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
