policy,shed_fraction,slack_multiplier,status,group_type,group,moved_requests,missed_requests,miss_rate,avg_missed_network_wait,avg_missed_prefill_wait,avg_missed_total_delay
mixed-greedy,0.3,0.25,OK,destination,k0,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.3,0.25,OK,destination,k1,17,0,0.0,0.0,0.0,0.0
mixed-greedy,0.3,0.25,OK,destination,k2,44,0,0.0,0.0,0.0,0.0
mixed-greedy,0.3,0.25,OK,action,replay,17,0,0.0,0.0,0.0,0.0
mixed-greedy,0.3,0.25,OK,action,state,44,0,0.0,0.0,0.0,0.0
replay-only,0.3,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
replay-only,0.3,0.25,OK,class,class1,30,0,0.0,0.0,0.0,0.0
replay-only,0.3,0.25,OK,class,class2,0,0,0.0,0.0,0.0,0.0
replay-only,0.3,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
replay-only,0.3,0.25,OK,class,class4,20,0,0.0,0.0,0.0,0.0
replay-only,0.3,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
replay-only,0.3,0.25,OK,destination,k0,30,0,0.0,0.0,0.0,0.0
replay-only,0.3,0.25,OK,destination,k1,20,0,0.0,0.0,0.0,0.0
replay-only,0.3,0.25,OK,destination,k2,0,0,0.0,0.0,0.0,0.0
replay-only,0.3,0.25,OK,action,replay,50,0,0.0,0.0,0.0,0.0
replay-only,0.3,0.25,OK,action,state,0,0,0.0,0.0,0.0,0.0
state-only,0.3,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
state-only,0.3,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
state-only,0.3,0.25,OK,class,class2,32,0,0.0,0.0,0.0,0.0
state-only,0.3,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
state-only,0.3,0.25,OK,class,class4,0,0,0.0,0.0,0.0,0.0
state-only,0.3,0.25,OK,class,class5,9,0,0.0,0.0,0.0,0.0
state-only,0.3,0.25,OK,destination,k0,9,0,0.0,0.0,0.0,0.0
state-only,0.3,0.25,OK,destination,k1,0,0,0.0,0.0,0.0,0.0
state-only,0.3,0.25,OK,destination,k2,32,0,0.0,0.0,0.0,0.0
state-only,0.3,0.25,OK,action,replay,0,0,0.0,0.0,0.0,0.0
state-only,0.3,0.25,OK,action,state,41,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.4,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.4,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.4,0.25,OK,class,class2,100,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.4,0.25,OK,class,class3,10,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.4,0.25,OK,class,class4,16,2,0.125,0.0,28.703521025529323,30.894265631926938
CVXPY-rounded,0.4,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.4,0.25,OK,destination,k0,3,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.4,0.25,OK,destination,k1,19,2,0.10526315789473684,0.0,28.703521025529323,30.894265631926938
CVXPY-rounded,0.4,0.25,OK,destination,k2,104,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.4,0.25,OK,action,replay,22,2,0.09090909090909091,0.0,28.703521025529323,30.894265631926938
CVXPY-rounded,0.4,0.25,OK,action,state,104,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.4,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.4,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.4,0.25,OK,class,class2,100,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.4,0.25,OK,class,class3,10,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.4,0.25,OK,class,class4,16,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.4,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.4,0.25,OK,destination,k0,4,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.4,0.25,OK,destination,k1,13,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.4,0.25,OK,destination,k2,109,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.4,0.25,OK,action,replay,21,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.4,0.25,OK,action,state,105,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.4,0.25,OK,class,class0,20,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.4,0.25,OK,class,class1,31,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.4,0.25,OK,class,class2,23,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.4,0.25,OK,class,class3,27,9,0.3333333333333333,17.50377867702668,0.0,23.098922456703797
deadline-aware-m0.8-rounded,0.4,0.25,OK,class,class4,2,2,1.0,22.85014004662006,0.0,38.21766141414142
deadline-aware-m0.8-rounded,0.4,0.25,OK,class,class5,7,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.4,0.25,OK,destination,k0,32,2,0.0625,12.778017566433569,0.0,21.842150489510495
deadline-aware-m0.8-rounded,0.4,0.25,OK,destination,k1,32,3,0.09375,14.12826584615385,0.0,24.303777914529917
deadline-aware-m0.8-rounded,0.4,0.25,OK,destination,k2,46,6,0.13043478260869565,22.54890925252526,0.0,27.95499836933438
deadline-aware-m0.8-rounded,0.4,0.25,OK,action,replay,45,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.4,0.25,OK,action,state,65,11,0.16923076923076924,18.475844380589113,0.0,25.84778408532882
deadline-aware-m1.0-rounded,0.4,0.25,OK,class,class0,20,0,0.0,0.0,0.0,0.0
deadline-aware-m1.0-rounded,0.4,0.25,OK,class,class1,31,0,0.0,0.0,0.0,0.0
deadline-aware-m1.0-rounded,0.4,0.25,OK,class,class2,23,0,0.0,0.0,0.0,0.0
deadline-aware-m1.0-rounded,0.4,0.25,OK,class,class3,27,11,0.4074074074074074,19.19284237031437,0.0,24.68625626308827
deadline-aware-m1.0-rounded,0.4,0.25,OK,class,class4,4,3,0.75,22.293521228305234,0.0,41.7590482938323
deadline-aware-m1.0-rounded,0.4,0.25,OK,class,class5,6,0,0.0,0.0,0.0,0.0
deadline-aware-m1.0-rounded,0.4,0.25,OK,destination,k0,33,3,0.09090909090909091,13.26340098128898,0.0,28.52666908385309
deadline-aware-m1.0-rounded,0.4,0.25,OK,destination,k1,33,4,0.12121212121212122,17.230765593901594,0.0,26.37308846569647
deadline-aware-m1.0-rounded,0.4,0.25,OK,destination,k2,45,7,0.15555555555555556,24.184080634128637,0.0,29.393371808731818
deadline-aware-m1.0-rounded,0.4,0.25,OK,action,replay,46,0,0.0,0.0,0.0,0.0
deadline-aware-m1.0-rounded,0.4,0.25,OK,action,state,65,14,0.2153846153846154,19.85727355416956,0.0,28.344711698247703
mirror-descent-rounded,0.4,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.4,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.4,0.25,OK,class,class2,92,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.4,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.4,0.25,OK,class,class4,20,3,0.15,0.0,29.787591926146135,31.97833653254375
mirror-descent-rounded,0.4,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.4,0.25,OK,destination,k0,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.4,0.25,OK,destination,k1,20,3,0.15,0.0,29.787591926146135,31.97833653254375
mirror-descent-rounded,0.4,0.25,OK,destination,k2,92,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.4,0.25,OK,action,replay,20,3,0.15,0.0,29.787591926146135,31.97833653254375
mirror-descent-rounded,0.4,0.25,OK,action,state,92,0,0.0,0.0,0.0,0.0
crossover-greedy,0.4,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.4,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.4,0.25,OK,class,class2,92,0,0.0,0.0,0.0,0.0
crossover-greedy,0.4,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.4,0.25,OK,class,class4,20,3,0.15,0.0,29.787591926146135,31.97833653254375
crossover-greedy,0.4,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.4,0.25,OK,destination,k0,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.4,0.25,OK,destination,k1,20,3,0.15,0.0,29.787591926146135,31.97833653254375
crossover-greedy,0.4,0.25,OK,destination,k2,92,0,0.0,0.0,0.0,0.0
crossover-greedy,0.4,0.25,OK,action,replay,20,3,0.15,0.0,29.787591926146135,31.97833653254375
crossover-greedy,0.4,0.25,OK,action,state,92,0,0.0,0.0,0.0,0.0
mixed-greedy,0.4,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.4,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.4,0.25,OK,class,class2,92,0,0.0,0.0,0.0,0.0
mixed-greedy,0.4,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.4,0.25,OK,class,class4,20,3,0.15,0.0,29.787591926146135,31.97833653254375
mixed-greedy,0.4,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
