gpus,load,wan_gbps,deadline_s,draw,policy,shed_fraction,action_fractions,resource_utilization,qh_gap
64,0.5,40,1.5,1,kv_only,0.09431369636634676,"[0.0, 0.04214045547863706, 0.0, 0.0521732408877097]","[0.7545095709307741, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0674247287658193, 0.08347718542033553, 0.0007691810557766234, 0.0009523074217752755, 1.0, 0.5531883798197341, 1.0]",0.3747551671463105
64,0.5,40,1.5,1,replay_only,0.375,"[0.125, 0.0, 0.25, 0.0]","[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.4, 0.009126397033920965, 0.006844797775440723, 0.003089882547539031, 0.0008252532091681283, 0.0022058486364007705]",0.09406886351265731
64,0.5,40,1.5,1,isolated_fastest,0.09431369636634676,"[0.0, 0.04214045547863706, 0.0, 0.0521732408877097]","[0.7545095709307741, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0674247287658193, 0.08347718542033553, 0.0007691810557766234, 0.0009523074217752755, 1.0, 0.5531883798197341, 1.0]",0.3747551671463105
64,0.5,40,1.5,2,queue_haul,0.4690677210761115,"[0.16786854984775956, 0.04286854984775944, 0.20713145015224055, 0.05119917122835195]","[1.0, 1.0, 1.0, 0.7525417686088919, 0.0, 0.0, 0.0, 0.0, 1.0000000000000009, 1.0, 0.3371793595128304, 0.4133289942089481, 0.00990886784627914, 0.008367123411055891, 1.0, 0.5439647651924178, 1.0]",0.0
64,0.5,40,1.5,2,greedy,0.398554228862342,"[0.125, 0.0, 0.25, 0.023554228862341965]","[1.0, 1.0, 1.0, 0.0, 0.18843383089873572, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.43768676617974717, 0.004563198516960482, 0.00856451973084531, 0.0004289103910267156, 0.9998044017491169, 1.0000000000000002]",0.07051349221376951
64,0.5,40,1.5,2,kv_only,0.09431369636634676,"[0.0, 0.043010368667997956, 0.0, 0.0513033276983488]","[0.7545095709307741, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06881658986879673, 0.08208532431735809, 0.0007850594020789274, 0.0009364290754729714, 1.0, 0.5439647651924178, 1.0]",0.3747540247097647
64,0.5,40,1.5,2,replay_only,0.375,"[0.125, 0.0, 0.25, 0.0]","[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.4, 0.009126397033920965, 0.006844797775440723, 0.00300799452947873, 0.0008305614767873009, 0.002202312968338056]",0.0940677210761115
64,0.5,40,1.5,2,isolated_fastest,0.09431369636634676,"[0.0, 0.043010368667997956, 0.0, 0.0513033276983488]","[0.7545095709307741, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06881658986879673, 0.08208532431735809, 0.0007850594020789274, 0.0009364290754729714, 1.0, 0.5439647651924178, 1.0]",0.3747540247097647
64,0.5,40,1.5,3,queue_haul,0.4686714694391023,"[0.16682088020847535, 0.04182088020847619, 0.2081791197915238, 0.05185058923062693]","[1.0, 1.0, 1.0, 0.7493717555128185, 0.0, 0.0, 0.0, 0.0, 0.9999999999999933, 1.0, 0.33382681666712255, 0.41604753443544124, 0.009889744948102104, 0.00835731551111543, 0.9999999999999998, 0.5531883798197339, 0.9999999999999998]",0.0
64,0.5,40,1.5,3,greedy,0.39845519734863144,"[0.125, 0.0, 0.25, 0.023455197348631412]","[1.0, 1.0, 1.0, 0.0, 0.1876415787890513, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.43752831575781026, 0.004563198516960482, 0.008557289323541368, 0.00043955653353375403, 0.999803601033091, 1.0]",0.07021627209047088
64,0.5,40,1.5,3,kv_only,0.09391720387308548,"[0.0, 0.0, 0.0, 0.09391720387308548]","[0.7513376309846839, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15026752619693678, 0.0, 0.0017142513817229557, 0.0, 1.0000000000000002, 1.0000000000000002]",0.3747542655660168
64,0.5,40,1.5,3,replay_only,0.375,"[0.125, 0.0, 0.25, 0.0]","[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.4, 0.009126397033920965, 0.006844797775440723, 0.003132678908068224, 0.0008301912059640826, 0.0022299085443825925]",0.09367146943910232
