api_wire_bytes,bandwidth,cached_tokens,chunk_tokens,completion_s,context_tokens,destination,destination_ready_s,destination_region,exact_token_timestamps,kv_wire_bytes,mean_tpot_s,method,model,passed,repeat,revision,source,source_region,stream_span_s,timing_root,readiness_root
98701,controlled_40,16384,256,20.941777147,16384,east,17.054696186,southeastasia,True,545260612,0.030606790708661416,kv_transfer,google/gemma-4-26B-A4B-it,True,2,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,3.88706242,/datadrive/k19-gemma,/datadrive/k23-gemma
98779,controlled_40,0,256,6.015800994,16384,east,2.122139346,southeastasia,True,0,0.03065863864566929,replay,google/gemma-4-26B-A4B-it,True,2,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,3.893647108,/datadrive/k19-gemma,/datadrive/k23-gemma
193934,controlled_40,32256,256,27.08622297,32256,east,23.44439476,southeastasia,True,870320164,0.028675504952755906,kv_transfer,google/gemma-4-26B-A4B-it,True,0,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,3.641789129,/datadrive/k19-gemma,/datadrive/k23-gemma
194012,controlled_40,0,256,7.351440683,32256,east,3.689279832,southeastasia,True,0,0.028835341503937007,replay,google/gemma-4-26B-A4B-it,True,0,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,3.662088371,/datadrive/k19-gemma,/datadrive/k23-gemma
193934,controlled_40,32256,256,27.189158208,32256,east,23.486307315,southeastasia,True,870320164,0.029156181362204724,kv_transfer,google/gemma-4-26B-A4B-it,True,1,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,3.702835033,/datadrive/k19-gemma,/datadrive/k23-gemma
194012,controlled_40,0,256,7.372605195,32256,east,3.696140924,southeastasia,True,0,0.028948394102362204,replay,google/gemma-4-26B-A4B-it,True,1,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,3.676446051,/datadrive/k19-gemma,/datadrive/k23-gemma
193934,controlled_40,32256,256,26.993561522,32256,east,23.331609724,southeastasia,True,870320164,0.02883392777952756,kv_transfer,google/gemma-4-26B-A4B-it,True,2,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,3.661908828,/datadrive/k19-gemma,/datadrive/k23-gemma
194012,controlled_40,0,256,7.370473447,32256,east,3.701944867,southeastasia,True,0,0.028885906921259842,replay,google/gemma-4-26B-A4B-it,True,2,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,3.668510179,/datadrive/k19-gemma,/datadrive/k23-gemma
24971,controlled_40,4096,256,5.983485031,4096,germany,1.758757599,southcentralus,True,293601604,0.03326504772440945,kv_transfer,google/gemma-4-26B-A4B-it,True,0,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,4.224661061,/datadrive/k19-gemma,/datadrive/k23-gemma
25049,controlled_40,0,256,4.492533475,4096,germany,0.24216148,southcentralus,True,0,0.03346703507874015,replay,google/gemma-4-26B-A4B-it,True,0,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,westus3,westus3,4.250313455,/datadrive/k19-gemma,/datadrive/k23-gemma
