deadline_s,policy,mode,rho,seed,destination_offered_rps,envelope_rps,within_envelope
375.0,replay_only,normal,0.48,1002,2.8549462323251404,5.0,True
450.0,isolated_fastest,normal,0.2,1001,4.980779532844991,5.0,True
450.0,replay_only,normal,0.2,1003,4.980779532844991,5.0,True
600.0,greedy,normal,0.3,1002,4.912096742438558,5.0,True
600.0,kv_only,normal,0.38,1001,4.885584649633732,5.0,True
750.0,queue_haul,normal,0.38,1003,4.9708870681947035,5.0,True
750.0,isolated_fastest,normal,0.44,1002,4.878245066339483,5.0,True
750.0,replay_only,normal,0.48,1001,3.3241095344104425,5.0,True
900.0,greedy,normal,0.48,1003,4.084765873492172,5.0,True
900.0,replay_only,normal,0.2,1002,4.980779532844991,5.0,True
1800.0,greedy,normal,0.3,1001,4.912096742438558,5.0,True
1800.0,kv_only,normal,0.3,1003,4.931570014029761,5.0,True
2700.0,queue_haul,normal,0.38,1002,4.970887068194697,5.0,True
2700.0,isolated_fastest,normal,0.44,1001,4.929677393950843,5.0,True
2700.0,replay_only,normal,0.44,1003,4.929677393950847,5.0,True
30.0,queue_haul,normal,0.48,1001,2.4284341395203213,5.0,True
30.0,isolated_fastest,normal,0.48,1003,2.4284341395203213,5.0,True
60.0,queue_haul,normal,0.2,1002,1.9299462035900965,5.0,True
60.0,isolated_fastest,normal,0.3,1001,2.0686827904064256,5.0,True
60.0,replay_only,normal,0.3,1003,2.0686827904064264,5.0,True
120.0,greedy,normal,0.38,1002,2.755550507302889,5.0,True
120.0,kv_only,normal,0.44,1001,2.7214751513190056,5.0,True
180.0,queue_haul,normal,0.44,1003,3.042382936746086,5.0,True
180.0,isolated_fastest,normal,0.48,1002,2.7209077854270802,5.0,True
240.0,queue_haul,normal,0.2,1001,4.970623083152141,5.0,True
240.0,isolated_fastest,normal,0.2,1003,4.7153942306553205,5.0,True
240.0,replay_only,normal,0.3,1002,3.959553068507786,5.0,True
300.0,greedy,normal,0.38,1001,4.387035337059875,5.0,True
300.0,kv_only,normal,0.38,1003,3.3785752550567083,5.0,True
375.0,queue_haul,normal,0.44,1002,3.964992819848942,5.0,True
375.0,isolated_fastest,normal,0.48,1001,3.0819290440325453,5.0,True
375.0,replay_only,normal,0.48,1003,2.854946232325141,5.0,True
450.0,isolated_fastest,normal,0.2,1002,4.980779532844991,5.0,True
450.0,replay_only,normal,0.3,1001,4.912096742438558,5.0,True
600.0,greedy,normal,0.3,1003,4.931570014029761,5.0,True
600.0,kv_only,normal,0.38,1002,4.885584649633732,5.0,True
750.0,queue_haul,normal,0.44,1001,4.878245066339483,5.0,True
750.0,isolated_fastest,normal,0.44,1003,4.9278106919307625,5.0,True
750.0,replay_only,normal,0.48,1002,3.3241095344104425,5.0,True
900.0,isolated_fastest,normal,0.2,1001,4.980779532844991,5.0,True
900.0,replay_only,normal,0.2,1003,4.980779532844991,5.0,True
1800.0,greedy,normal,0.3,1002,4.912096742438558,5.0,True
1800.0,kv_only,normal,0.38,1001,4.970887068194697,5.0,True
2700.0,queue_haul,normal,0.38,1003,4.9708870681947035,5.0,True
2700.0,isolated_fastest,normal,0.44,1002,4.929677393950837,5.0,True
2700.0,replay_only,normal,0.48,1001,4.9672622834166456,5.0,True
