D,method,metric,mean,std
300.0,state_only,min_class,0.0,0.0
300.0,state_only,phi,2.3069898115631666,0.0
300.0,state_only,num_starved,2.0,0.0
300.0,least_loaded,evac_frac,0.7506703535415492,0.0
300.0,least_loaded,token_wtd,0.3153324710062308,0.0
300.0,least_loaded,kv_wtd,0.26198987792819106,0.0
300.0,least_loaded,min_class,0.0,0.0
300.0,least_loaded,phi,62.19843262427636,0.0
300.0,least_loaded,num_starved,7.0,0.0
600.0,optimizer,evac_frac,1.0,0.0
600.0,optimizer,token_wtd,1.0,0.0
600.0,optimizer,kv_wtd,1.0,0.0
600.0,optimizer,min_class,1.0,0.0
600.0,optimizer,phi,0.4666970610894513,0.0
600.0,random,evac_frac,1.0,0.0
600.0,random,token_wtd,1.0,0.0
600.0,random,kv_wtd,1.0,0.0
600.0,random,min_class,1.0,0.0
600.0,random,phi,21.392171371112855,11.535956862954658
600.0,random,num_starved,0.0,0.0
600.0,replay_only,evac_frac,0.8425391054429012,0.0
600.0,replay_only,token_wtd,0.47588204887382984,0.0
600.0,replay_only,kv_wtd,0.4202985018147162,0.0
600.0,replay_only,min_class,0.0,0.0
600.0,replay_only,phi,37.99388294865687,0.0
600.0,replay_only,num_starved,5.0,0.0
600.0,state_only,evac_frac,1.0,0.0
600.0,state_only,token_wtd,1.0,0.0
600.0,state_only,kv_wtd,1.0,0.0
600.0,state_only,min_class,1.0,0.0
600.0,state_only,phi,1.1534949057815833,0.0
600.0,state_only,num_starved,0.0,0.0
600.0,least_loaded,evac_frac,0.8425391054429012,0.0
600.0,least_loaded,token_wtd,0.47588204887382984,0.0
600.0,least_loaded,kv_wtd,0.4202985018147162,0.0
600.0,least_loaded,min_class,0.0,0.0
600.0,least_loaded,phi,31.09921631213818,0.0
600.0,least_loaded,num_starved,5.0,0.0
900.0,optimizer,evac_frac,1.0,0.0
900.0,optimizer,token_wtd,1.0,0.0
900.0,optimizer,kv_wtd,1.0,0.0
900.0,optimizer,min_class,1.0,0.0
900.0,optimizer,phi,0.31113024746816964,0.0
900.0,random,evac_frac,1.0,0.0
900.0,random,token_wtd,1.0,0.0
900.0,random,kv_wtd,1.0,0.0
900.0,random,min_class,1.0,0.0
900.0,random,phi,14.261447580741901,7.690637908636438
900.0,random,num_starved,0.0,0.0
900.0,replay_only,evac_frac,0.9440018804425115,0.0
900.0,replay_only,token_wtd,0.6471424099905209,0.0
900.0,replay_only,kv_wtd,0.5527988667567546,0.0
900.0,replay_only,min_class,0.0,0.0
900.0,replay_only,phi,25.32925529910458,0.0
900.0,replay_only,num_starved,2.0,0.0
900.0,state_only,evac_frac,1.0,0.0
