replicate,case_id,bound_constraint,policy,power_bootstrap_index,timing_fit_sha256,target_w,requested_fraction,deadline_s,horizon_s,attainment_time_s,target_met_by_30s
2,dest_compute,Dest. compute,greedy,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,dest_compute,Dest. compute,isolated_fastest,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,dest_compute,Dest. compute,kv_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,dest_compute,Dest. compute,replay_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,bandwidth-hbm,HBM + bandwidth,queue_haul,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,12.77207517834383,True
2,bandwidth-hbm,HBM + bandwidth,greedy,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,13.832681933631674,True
2,bandwidth-hbm,HBM + bandwidth,isolated_fastest,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,44.04162501088118,False
2,bandwidth-hbm,HBM + bandwidth,kv_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,20.730311179749997,True
2,bandwidth-hbm,HBM + bandwidth,replay_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,13.832681933631674,True
2,dest_compute-hbm,HBM + compute,queue_haul,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,dest_compute-hbm,HBM + compute,greedy,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,dest_compute-hbm,HBM + compute,isolated_fastest,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,dest_compute-hbm,HBM + compute,kv_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,dest_compute-hbm,HBM + compute,replay_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,bandwidth-dest_compute,Bandwidth + compute,queue_haul,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,bandwidth-dest_compute,Bandwidth + compute,greedy,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,bandwidth-dest_compute,Bandwidth + compute,isolated_fastest,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,bandwidth-dest_compute,Bandwidth + compute,kv_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,bandwidth-dest_compute,Bandwidth + compute,replay_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,bandwidth-dest_compute-hbm,All bound,queue_haul,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,bandwidth-dest_compute-hbm,All bound,greedy,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,bandwidth-dest_compute-hbm,All bound,isolated_fastest,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,bandwidth-dest_compute-hbm,All bound,kv_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,bandwidth-dest_compute-hbm,All bound,replay_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,,False
2,none,None bound,queue_haul,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,14.370674875004445,True
2,none,None bound,greedy,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,17.483006887707237,True
2,none,None bound,isolated_fastest,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,14.370674875004445,True
2,none,None bound,kv_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,26.413832760749994,True
