constraint_state,bound_constraint,requested_fraction,attainment_rate,cases
dest_compute,Dest. compute / bandwidth + compute,0.36,0.98,100
dest_compute,Dest. compute / bandwidth + compute,0.37,0.98,100
dest_compute,Dest. compute / bandwidth + compute,0.38,0.97,100
dest_compute,Dest. compute / bandwidth + compute,0.39,0.97,100
dest_compute,Dest. compute / bandwidth + compute,0.4,0.96,100
dest_compute,Dest. compute / bandwidth + compute,0.41000000000000003,0.96,100
dest_compute,Dest. compute / bandwidth + compute,0.42,0.95,100
dest_compute,Dest. compute / bandwidth + compute,0.43,0.94,100
dest_compute,Dest. compute / bandwidth + compute,0.44,0.93,100
dest_compute,Dest. compute / bandwidth + compute,0.45,0.92,100
dest_compute,Dest. compute / bandwidth + compute,0.46,0.92,100
dest_compute,Dest. compute / bandwidth + compute,0.47000000000000003,0.9,100
dest_compute,Dest. compute / bandwidth + compute,0.48,0.87,100
dest_compute,Dest. compute / bandwidth + compute,0.49,0.87,100
dest_compute,Dest. compute / bandwidth + compute,0.5,0.85,100
dest_compute,Dest. compute / bandwidth + compute,0.51,0.8,100
dest_compute,Dest. compute / bandwidth + compute,0.52,0.79,100
dest_compute,Dest. compute / bandwidth + compute,0.53,0.78,100
dest_compute,Dest. compute / bandwidth + compute,0.54,0.78,100
dest_compute,Dest. compute / bandwidth + compute,0.55,0.76,100
dest_compute,Dest. compute / bandwidth + compute,0.56,0.75,100
dest_compute,Dest. compute / bandwidth + compute,0.5700000000000001,0.74,100
dest_compute,Dest. compute / bandwidth + compute,0.58,0.7,100
dest_compute,Dest. compute / bandwidth + compute,0.59,0.69,100
dest_compute,Dest. compute / bandwidth + compute,0.6,0.69,100
dest_compute,Dest. compute / bandwidth + compute,0.61,0.67,100
dest_compute,Dest. compute / bandwidth + compute,0.62,0.66,100
dest_compute,Dest. compute / bandwidth + compute,0.63,0.61,100
dest_compute,Dest. compute / bandwidth + compute,0.64,0.58,100
dest_compute,Dest. compute / bandwidth + compute,0.65,0.58,100
dest_compute,Dest. compute / bandwidth + compute,0.66,0.58,100
dest_compute,Dest. compute / bandwidth + compute,0.67,0.5,100
dest_compute,Dest. compute / bandwidth + compute,0.68,0.47,100
dest_compute,Dest. compute / bandwidth + compute,0.6900000000000001,0.43,100
dest_compute,Dest. compute / bandwidth + compute,0.7000000000000001,0.42,100
dest_compute,Dest. compute / bandwidth + compute,0.71,0.42,100
dest_compute,Dest. compute / bandwidth + compute,0.72,0.41,100
dest_compute,Dest. compute / bandwidth + compute,0.73,0.39,100
dest_compute,Dest. compute / bandwidth + compute,0.74,0.35,100
dest_compute,Dest. compute / bandwidth + compute,0.75,0.31,100
dest_compute,Dest. compute / bandwidth + compute,0.76,0.2,100
dest_compute,Dest. compute / bandwidth + compute,0.77,0.17,100
dest_compute,Dest. compute / bandwidth + compute,0.78,0.16,100
dest_compute,Dest. compute / bandwidth + compute,0.79,0.14,100
dest_compute,Dest. compute / bandwidth + compute,0.8,0.14,100
dest_compute,Dest. compute / bandwidth + compute,0.81,0.12,100
dest_compute,Dest. compute / bandwidth + compute,0.8200000000000001,0.12,100
dest_compute,Dest. compute / bandwidth + compute,0.8300000000000001,0.11,100
dest_compute,Dest. compute / bandwidth + compute,0.84,0.11,100
dest_compute,Dest. compute / bandwidth + compute,0.85,0.09,100
dest_compute,Dest. compute / bandwidth + compute,0.86,0.09,100
dest_compute,Dest. compute / bandwidth + compute,0.87,0.08,100
dest_compute,Dest. compute / bandwidth + compute,0.88,0.06,100
dest_compute,Dest. compute / bandwidth + compute,0.89,0.04,100
dest_compute,Dest. compute / bandwidth + compute,0.9,0.02,100
dest_compute,Dest. compute / bandwidth + compute,0.91,0.01,100
dest_compute,Dest. compute / bandwidth + compute,0.92,0.01,100
dest_compute,Dest. compute / bandwidth + compute,0.93,0.01,100
dest_compute,Dest. compute / bandwidth + compute,0.9400000000000001,0.01,100
dest_compute,Dest. compute / bandwidth + compute,0.9500000000000001,0.01,100
dest_compute,Dest. compute / bandwidth + compute,0.96,0.01,100
dest_compute,Dest. compute / bandwidth + compute,0.97,0.01,100
dest_compute,Dest. compute / bandwidth + compute,0.98,0.01,100
dest_compute,Dest. compute / bandwidth + compute,0.99,0.0,100
dest_compute,Dest. compute / bandwidth + compute,1.0,0.0,100
all,HBM + compute / all bound,0.0,1.0,100
all,HBM + compute / all bound,0.01,1.0,100
all,HBM + compute / all bound,0.02,1.0,100
all,HBM + compute / all bound,0.03,1.0,100
all,HBM + compute / all bound,0.04,1.0,100
all,HBM + compute / all bound,0.05,1.0,100
all,HBM + compute / all bound,0.06,1.0,100
all,HBM + compute / all bound,0.07,1.0,100
all,HBM + compute / all bound,0.08,1.0,100
all,HBM + compute / all bound,0.09,1.0,100
all,HBM + compute / all bound,0.1,1.0,100
all,HBM + compute / all bound,0.11,1.0,100
all,HBM + compute / all bound,0.12,1.0,100
all,HBM + compute / all bound,0.13,1.0,100
all,HBM + compute / all bound,0.14,1.0,100
all,HBM + compute / all bound,0.15,1.0,100
all,HBM + compute / all bound,0.16,1.0,100
all,HBM + compute / all bound,0.17,1.0,100
all,HBM + compute / all bound,0.18,1.0,100
all,HBM + compute / all bound,0.19,1.0,100
all,HBM + compute / all bound,0.2,1.0,100
all,HBM + compute / all bound,0.21,1.0,100
all,HBM + compute / all bound,0.22,1.0,100
all,HBM + compute / all bound,0.23,1.0,100
all,HBM + compute / all bound,0.24,1.0,100
all,HBM + compute / all bound,0.25,1.0,100
all,HBM + compute / all bound,0.26,0.99,100
all,HBM + compute / all bound,0.27,0.98,100
all,HBM + compute / all bound,0.28,0.98,100
all,HBM + compute / all bound,0.29,0.98,100
all,HBM + compute / all bound,0.3,0.98,100
all,HBM + compute / all bound,0.31,0.98,100
all,HBM + compute / all bound,0.32,0.98,100
all,HBM + compute / all bound,0.33,0.98,100
all,HBM + compute / all bound,0.34,0.98,100
all,HBM + compute / all bound,0.35000000000000003,0.98,100
all,HBM + compute / all bound,0.36,0.98,100
all,HBM + compute / all bound,0.37,0.98,100
all,HBM + compute / all bound,0.38,0.97,100
all,HBM + compute / all bound,0.39,0.97,100
all,HBM + compute / all bound,0.4,0.96,100
all,HBM + compute / all bound,0.41000000000000003,0.95,100
all,HBM + compute / all bound,0.42,0.95,100
all,HBM + compute / all bound,0.43,0.93,100
all,HBM + compute / all bound,0.44,0.93,100
all,HBM + compute / all bound,0.45,0.93,100
all,HBM + compute / all bound,0.46,0.93,100
all,HBM + compute / all bound,0.47000000000000003,0.91,100
all,HBM + compute / all bound,0.48,0.88,100
all,HBM + compute / all bound,0.49,0.87,100
all,HBM + compute / all bound,0.5,0.85,100
all,HBM + compute / all bound,0.51,0.81,100
all,HBM + compute / all bound,0.52,0.8,100
all,HBM + compute / all bound,0.53,0.79,100
all,HBM + compute / all bound,0.54,0.79,100
all,HBM + compute / all bound,0.55,0.78,100
all,HBM + compute / all bound,0.56,0.76,100
all,HBM + compute / all bound,0.5700000000000001,0.74,100
all,HBM + compute / all bound,0.58,0.7,100
all,HBM + compute / all bound,0.59,0.68,100
all,HBM + compute / all bound,0.6,0.68,100
all,HBM + compute / all bound,0.61,0.67,100
all,HBM + compute / all bound,0.62,0.66,100
all,HBM + compute / all bound,0.63,0.61,100
all,HBM + compute / all bound,0.64,0.58,100
all,HBM + compute / all bound,0.65,0.57,100
all,HBM + compute / all bound,0.66,0.56,100
all,HBM + compute / all bound,0.67,0.51,100
all,HBM + compute / all bound,0.68,0.46,100
all,HBM + compute / all bound,0.6900000000000001,0.43,100
all,HBM + compute / all bound,0.7000000000000001,0.42,100
all,HBM + compute / all bound,0.71,0.42,100
all,HBM + compute / all bound,0.72,0.39,100
all,HBM + compute / all bound,0.73,0.38,100
all,HBM + compute / all bound,0.74,0.35,100
all,HBM + compute / all bound,0.75,0.31,100
all,HBM + compute / all bound,0.76,0.2,100
all,HBM + compute / all bound,0.77,0.17,100
all,HBM + compute / all bound,0.78,0.16,100
all,HBM + compute / all bound,0.79,0.15,100
all,HBM + compute / all bound,0.8,0.15,100
all,HBM + compute / all bound,0.81,0.14,100
all,HBM + compute / all bound,0.8200000000000001,0.11,100
all,HBM + compute / all bound,0.8300000000000001,0.11,100
all,HBM + compute / all bound,0.84,0.1,100
all,HBM + compute / all bound,0.85,0.1,100
all,HBM + compute / all bound,0.86,0.1,100
all,HBM + compute / all bound,0.87,0.08,100
all,HBM + compute / all bound,0.88,0.06,100
all,HBM + compute / all bound,0.89,0.04,100
all,HBM + compute / all bound,0.9,0.02,100
all,HBM + compute / all bound,0.91,0.01,100
all,HBM + compute / all bound,0.92,0.01,100
all,HBM + compute / all bound,0.93,0.01,100
all,HBM + compute / all bound,0.9400000000000001,0.01,100
all,HBM + compute / all bound,0.9500000000000001,0.01,100
all,HBM + compute / all bound,0.96,0.0,100
all,HBM + compute / all bound,0.97,0.0,100
all,HBM + compute / all bound,0.98,0.0,100
all,HBM + compute / all bound,0.99,0.0,100
all,HBM + compute / all bound,1.0,0.0,100
