model,workload,density,wan_gbps,deadline_s,policy,service_factor,evaluation,comparator,p05_difference_w,median_difference_w,p95_difference_w,win_fraction
gpt-oss-20b,coding,8,10,10,lp_plan,1.0,nominal_volume,lp_bound,9.477262378949714,42.919175235554576,245.9447494661298,1.0
gpt-oss-20b,coding,8,10,10,greedy,1.0,nominal_volume,lp_bound,93.88276669755608,207.8007754003629,5660.044127164252,1.0
gpt-oss-20b,coding,8,10,10,greedy,1.0,nominal_volume,lp_plan,-148.41793334800627,156.7796972449869,5625.073241340403,0.85
gpt-oss-20b,coding,8,10,10,kv_only,1.0,nominal_volume,lp_bound,8834077.28235263,10209455.134359835,11262030.396609273,1.0
gpt-oss-20b,coding,8,10,10,kv_only,1.0,nominal_volume,lp_plan,8834042.65182688,10209439.131403862,11261843.509871697,1.0
gpt-oss-20b,coding,8,10,10,replay_only,1.0,nominal_volume,lp_bound,152.02962013250317,237.29513730481267,5686.086531433938,1.0
gpt-oss-20b,coding,8,10,10,replay_only,1.0,nominal_volume,lp_plan,-92.27800288991813,195.92915084492415,5651.11564561009,0.9
gpt-oss-20b,coding,8,10,10,isolated_fastest,1.0,nominal_volume,lp_bound,8834077.28235263,10209455.134359835,11262030.396609273,1.0
gpt-oss-20b,coding,8,10,10,isolated_fastest,1.0,nominal_volume,lp_plan,8834042.65182688,10209439.131403862,11261843.509871697,1.0
gpt-oss-20b,coding,8,10,30,lp_plan,1.0,nominal_volume,lp_bound,0.8481012552045316,33.31970383133739,168.60630788000435,1.0
gpt-oss-20b,coding,8,10,30,greedy,1.0,nominal_volume,lp_bound,76.50896624745819,273.93219139426947,402.1923187562064,1.0
gpt-oss-20b,coding,8,10,30,greedy,1.0,nominal_volume,lp_plan,-57.491885304635865,215.79189315158874,391.26694906511887,0.9
gpt-oss-20b,coding,8,10,30,kv_only,1.0,nominal_volume,lp_bound,11077421.504311457,11573422.973788394,11824224.708765002,1.0
gpt-oss-20b,coding,8,10,30,kv_only,1.0,nominal_volume,lp_plan,11077390.13509533,11573408.835534995,11824223.84254767,1.0
gpt-oss-20b,coding,8,10,30,replay_only,1.0,nominal_volume,lp_bound,94.16042786892514,298.60069394949824,424.6996429784036,1.0
gpt-oss-20b,coding,8,10,30,replay_only,1.0,nominal_volume,lp_plan,-46.7163805001402,232.24871070310473,404.8722583085247,0.9
gpt-oss-20b,coding,8,10,30,isolated_fastest,1.0,nominal_volume,lp_bound,11077421.504311457,11573422.973788394,11824224.708765002,1.0
gpt-oss-20b,coding,8,10,30,isolated_fastest,1.0,nominal_volume,lp_plan,11077390.13509533,11573408.835534995,11824223.84254767,1.0
gpt-oss-20b,coding,8,10,60,lp_plan,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,3.725290298461914e-09,95.85603892393198,0.59925
gpt-oss-20b,coding,8,10,60,greedy,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,1.862645149230957e-09,197.95223915874163,0.5995
gpt-oss-20b,coding,8,10,60,greedy,1.0,nominal_volume,lp_plan,-3.2830389983009525,0.0,136.50202587386426,0.45
gpt-oss-20b,coding,8,10,60,kv_only,1.0,nominal_volume,lp_bound,11765343.185093028,11880708.599715643,11965450.3819934,1.0
gpt-oss-20b,coding,8,10,60,kv_only,1.0,nominal_volume,lp_plan,11765263.88666155,11880624.37679316,11965450.381993404,1.0
gpt-oss-20b,coding,8,10,60,replay_only,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,1.862645149230957e-09,205.78563126492327,0.5995
gpt-oss-20b,coding,8,10,60,replay_only,1.0,nominal_volume,lp_plan,-2.2962034413583194,0.0,148.36982155367556,0.45
gpt-oss-20b,coding,8,10,60,isolated_fastest,1.0,nominal_volume,lp_bound,11765343.185093028,11880708.599715643,11965450.3819934,1.0
gpt-oss-20b,coding,8,10,60,isolated_fastest,1.0,nominal_volume,lp_plan,11765263.88666155,11880624.37679316,11965450.381993404,1.0
gpt-oss-20b,coding,8,10,120,lp_plan,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,5.587935447692871e-09,0.35825
gpt-oss-20b,coding,8,10,120,greedy,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,5.587935447692871e-09,0.415
gpt-oss-20b,coding,8,10,120,greedy,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,3.818422555922954e-09,0.25
gpt-oss-20b,coding,8,10,120,kv_only,1.0,nominal_volume,lp_bound,11675598.366390757,11805835.507481726,11930216.75225133,1.0
gpt-oss-20b,coding,8,10,120,kv_only,1.0,nominal_volume,lp_plan,11675598.366390752,11805835.507481726,11930216.75225133,1.0
gpt-oss-20b,coding,8,10,120,replay_only,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,5.587935447692871e-09,0.415
gpt-oss-20b,coding,8,10,120,replay_only,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,3.818422555922954e-09,0.25
gpt-oss-20b,coding,8,10,120,isolated_fastest,1.0,nominal_volume,lp_bound,11675598.366390757,11805835.507481726,11930216.75225133,1.0
gpt-oss-20b,coding,8,10,120,isolated_fastest,1.0,nominal_volume,lp_plan,11675598.366390752,11805835.507481726,11930216.75225133,1.0
gpt-oss-20b,coding,8,10,300,lp_plan,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,3.725290298461914e-09,0.372
gpt-oss-20b,coding,8,10,300,greedy,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,5.587935447692871e-09,0.3645
gpt-oss-20b,coding,8,10,300,greedy,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,3.818422555922954e-09,0.2
gpt-oss-20b,coding,8,10,300,kv_only,1.0,nominal_volume,lp_bound,11359276.531570915,11615377.251252344,11815520.451466734,1.0
gpt-oss-20b,coding,8,10,300,kv_only,1.0,nominal_volume,lp_plan,11359276.531570911,11615377.251252344,11815520.451466735,1.0
gpt-oss-20b,coding,8,10,300,replay_only,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,5.587935447692871e-09,0.3645
gpt-oss-20b,coding,8,10,300,replay_only,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,3.818422555922954e-09,0.2
gpt-oss-20b,coding,8,10,300,isolated_fastest,1.0,nominal_volume,lp_bound,11359276.531570915,11615377.251252344,11815520.451466734,1.0
gpt-oss-20b,coding,8,10,300,isolated_fastest,1.0,nominal_volume,lp_plan,11359276.531570911,11615377.251252344,11815520.451466735,1.0
gpt-oss-20b,coding,8,10,600,lp_plan,1.0,nominal_volume,lp_bound,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.30925
gpt-oss-20b,coding,8,10,600,greedy,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,3.725290298461914e-09,0.42325
gpt-oss-20b,coding,8,10,600,greedy,1.0,nominal_volume,lp_plan,-9.313225746151609e-11,0.0,3.725290298461914e-09,0.4
gpt-oss-20b,coding,8,10,600,kv_only,1.0,nominal_volume,lp_bound,10841196.233638283,11311581.9203566,11638842.122593347,1.0
gpt-oss-20b,coding,8,10,600,kv_only,1.0,nominal_volume,lp_plan,10841196.233638285,11311581.920356598,11638842.12259335,1.0
gpt-oss-20b,coding,8,10,600,replay_only,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,3.725290298461914e-09,0.42325
gpt-oss-20b,coding,8,10,600,replay_only,1.0,nominal_volume,lp_plan,-9.313225746151609e-11,0.0,3.725290298461914e-09,0.4
gpt-oss-20b,coding,8,10,600,isolated_fastest,1.0,nominal_volume,lp_bound,10841196.233638283,11311581.9203566,11638842.122593347,1.0
gpt-oss-20b,coding,8,10,600,isolated_fastest,1.0,nominal_volume,lp_plan,10841196.233638285,11311581.920356598,11638842.12259335,1.0
gpt-oss-20b,coding,8,10,1800,lp_plan,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,3.725290298461914e-09,0.22
gpt-oss-20b,coding,8,10,1800,greedy,1.0,nominal_volume,lp_bound,-1.955777406692473e-09,0.0,5.587935447692871e-09,0.234
gpt-oss-20b,coding,8,10,1800,greedy,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,3.818422555922954e-09,0.2
gpt-oss-20b,coding,8,10,1800,kv_only,1.0,nominal_volume,lp_bound,9008903.087767977,10092298.394013666,11081784.790458916,1.0
gpt-oss-20b,coding,8,10,1800,kv_only,1.0,nominal_volume,lp_plan,9008903.087767977,10092298.394013666,11081784.790458918,1.0
gpt-oss-20b,coding,8,10,1800,replay_only,1.0,nominal_volume,lp_bound,-1.955777406692473e-09,0.0,5.587935447692871e-09,0.234
gpt-oss-20b,coding,8,10,1800,replay_only,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,3.818422555922954e-09,0.2
gpt-oss-20b,coding,8,10,1800,isolated_fastest,1.0,nominal_volume,lp_bound,9008903.087767977,10092298.394013666,11081784.790458916,1.0
gpt-oss-20b,coding,8,10,1800,isolated_fastest,1.0,nominal_volume,lp_plan,9008903.087767977,10092298.394013666,11081784.790458918,1.0
gpt-oss-20b,coding,8,10,3600,lp_plan,1.0,nominal_volume,lp_bound,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.43425
gpt-oss-20b,coding,8,10,3600,greedy,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,3.818422555922954e-09,0.31025
gpt-oss-20b,coding,8,10,3600,greedy,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.25
gpt-oss-20b,coding,8,10,3600,kv_only,1.0,nominal_volume,lp_bound,6750855.767733875,8650263.305237917,10626123.357567325,1.0
gpt-oss-20b,coding,8,10,3600,kv_only,1.0,nominal_volume,lp_plan,6750855.767733876,8650263.305237915,10626123.357567323,1.0
gpt-oss-20b,coding,8,10,3600,replay_only,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,3.818422555922954e-09,0.31025
gpt-oss-20b,coding,8,10,3600,replay_only,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.25
gpt-oss-20b,coding,8,10,3600,isolated_fastest,1.0,nominal_volume,lp_bound,6750855.767733875,8650263.305237917,10626123.357567325,1.0
gpt-oss-20b,coding,8,10,3600,isolated_fastest,1.0,nominal_volume,lp_plan,6750855.767733876,8650263.305237915,10626123.357567323,1.0
gpt-oss-20b,coding,8,40,1,lp_plan,1.0,nominal_volume,lp_bound,26.330000366526665,77.22225802298635,240.410208346215,1.0
gpt-oss-20b,coding,8,40,1,greedy,1.0,nominal_volume,lp_bound,146.742492546609,561.1205411101691,3301.001924147167,1.0
gpt-oss-20b,coding,8,40,1,greedy,1.0,nominal_volume,lp_plan,0.0,473.3779941210523,3250.5355166893905,0.9
gpt-oss-20b,coding,8,40,1,kv_only,1.0,nominal_volume,lp_bound,1732474.5028239787,5326487.026034484,8265705.457239997,1.0
gpt-oss-20b,coding,8,40,1,kv_only,1.0,nominal_volume,lp_plan,1732431.0317621657,5326386.155059076,8265465.04703165,1.0
gpt-oss-20b,coding,8,40,1,replay_only,1.0,nominal_volume,lp_bound,505.26032662135725,693.4487383496016,1716.3310904001653,1.0
gpt-oss-20b,coding,8,40,1,replay_only,1.0,nominal_volume,lp_plan,344.0733880348056,576.6731115486473,1576.8772247634936,1.0
