model,workload,density,wan_gbps,deadline_s,policy,service_factor,draws,p05_qh_minus_baseline_w,median_qh_minus_baseline_w,p95_qh_minus_baseline_w,qh_win_fraction
gpt-oss-20b,coding,8,reference,1800,kv_only,1.2,4000,9036367.395610893,10672234.638502875,11658379.153015677,1.0
gpt-oss-20b,coding,8,reference,1800,replay_only,0.8,4000,0.0,0.0,0.7361382344617499,0.05
gpt-oss-20b,coding,8,reference,1800,replay_only,1.0,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.27775
gpt-oss-20b,coding,8,reference,1800,replay_only,1.2,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.27775
gpt-oss-20b,coding,8,reference,1800,isolated_fastest,0.8,4000,-2913068.2137235794,-1269369.2301550794,-274492.13170552964,0.0
gpt-oss-20b,coding,8,reference,1800,isolated_fastest,1.0,4000,9036367.395610893,10672234.638502875,11658379.153015677,1.0
gpt-oss-20b,coding,8,reference,1800,isolated_fastest,1.2,4000,9036367.395610893,10672234.638502875,11658379.153015677,1.0
gpt-oss-20b,coding,8,reference,3600,greedy,0.8,4000,0.0,0.0,5.908535515963782,0.1
gpt-oss-20b,coding,8,reference,3600,greedy,1.0,4000,-3.725290298461914e-09,0.0,5.587935447692871e-09,0.4555
gpt-oss-20b,coding,8,reference,3600,greedy,1.2,4000,-3.725290298461914e-09,0.0,5.587935447692871e-09,0.4555
gpt-oss-20b,coding,8,reference,3600,kv_only,0.8,4000,-4689715.37771139,-2473713.6000826233,-765765.1310633426,0.0
gpt-oss-20b,coding,8,reference,3600,kv_only,1.0,4000,7096203.563948115,9468193.207284812,11219474.236801306,1.0
gpt-oss-20b,coding,8,reference,3600,kv_only,1.2,4000,7096203.563948115,9468193.207284812,11219474.236801306,1.0
gpt-oss-20b,coding,8,reference,3600,replay_only,0.8,4000,0.0,0.0,5.908535515963782,0.1
gpt-oss-20b,coding,8,reference,3600,replay_only,1.0,4000,-3.725290298461914e-09,0.0,5.587935447692871e-09,0.4555
gpt-oss-20b,coding,8,reference,3600,replay_only,1.2,4000,-3.725290298461914e-09,0.0,5.587935447692871e-09,0.4555
gpt-oss-20b,coding,8,reference,3600,isolated_fastest,0.8,4000,-4689715.37771139,-2473713.6000826233,-765765.1310633426,0.0
gpt-oss-20b,coding,8,reference,3600,isolated_fastest,1.0,4000,7096203.563948115,9468193.207284812,11219474.236801306,1.0
gpt-oss-20b,coding,8,reference,3600,isolated_fastest,1.2,4000,7096203.563948115,9468193.207284812,11219474.236801306,1.0
gpt-oss-20b,coding,8,10,1,greedy,0.8,4000,-839607.8310141091,-6.872555713402107,44071.34891069466,0.254
gpt-oss-20b,coding,8,10,1,greedy,1.0,4000,-2413862.3426210787,0.0,148.0901172524318,0.29975
gpt-oss-20b,coding,8,10,1,greedy,1.2,4000,-286593.26307014306,2.3283064365386963e-10,4304.9079086527,0.524
gpt-oss-20b,coding,8,10,1,kv_only,0.8,4000,-1087.5795989363812,25755.215416655814,1666217.74695824,0.55
gpt-oss-20b,coding,8,10,1,kv_only,1.0,4000,-682.8333581016147,903964.373954883,2730467.8686138247,0.85
gpt-oss-20b,coding,8,10,1,kv_only,1.2,4000,-681.4139619139935,1198540.526560788,3140421.419418764,0.9
gpt-oss-20b,coding,8,10,1,replay_only,0.8,4000,-693529.4026321309,0.0,171409.640099921,0.454
gpt-oss-20b,coding,8,10,1,replay_only,1.0,4000,-2417630.1581618567,0.0,172.89858027291484,0.44975
gpt-oss-20b,coding,8,10,1,replay_only,1.2,4000,-286593.26307014306,4.656612873077393e-10,386.1171549390724,0.574
gpt-oss-20b,coding,8,10,1,isolated_fastest,0.8,4000,-1087.5795989363812,25755.215416655814,1666217.74695824,0.55
gpt-oss-20b,coding,8,10,1,isolated_fastest,1.0,4000,-682.8333581016147,903964.373954883,2730467.8686138247,0.85
gpt-oss-20b,coding,8,10,1,isolated_fastest,1.2,4000,-681.4139619139935,1198540.526560788,3140421.419418764,0.9
gpt-oss-20b,coding,8,10,3,greedy,0.8,4000,-1579799.5826615058,-0.7033310891153719,444126.9727744236,0.5
gpt-oss-20b,coding,8,10,3,greedy,1.0,4000,-3011430.392340842,109.37647829999332,281226.4696054862,0.6
gpt-oss-20b,coding,8,10,3,greedy,1.2,4000,-116876.87313786962,88577.18094887678,738307.3041813351,0.7
gpt-oss-20b,coding,8,10,3,kv_only,0.8,4000,-4450.906676074716,72894.12887139495,1663473.9314162615,0.5
gpt-oss-20b,coding,8,10,3,kv_only,1.0,4000,838177.9861679795,2733310.655747452,4943250.617820397,1.0
gpt-oss-20b,coding,8,10,3,kv_only,1.2,4000,1414293.655461809,5269663.169307844,10058641.072695356,1.0
