timestamp, uuid, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/10 01:42:34.056, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.51 W, 0 %, 61438 MiB
2026/09/10 01:42:35.056, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:42:36.056, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.38 W, 0 %, 61438 MiB
2026/09/10 01:42:37.056, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.61 W, 0 %, 61438 MiB
2026/09/10 01:42:38.056, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.12 W, 0 %, 61438 MiB
2026/09/10 01:42:39.056, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.38 W, 0 %, 61438 MiB
2026/09/10 01:42:40.057, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.80 W, 0 %, 61438 MiB
2026/09/10 01:42:41.057, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.32 W, 0 %, 61438 MiB
2026/09/10 01:42:42.057, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.55 W, 0 %, 61438 MiB
2026/09/10 01:42:43.058, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.41 W, 0 %, 61438 MiB
2026/09/10 01:42:44.058, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.42 W, 0 %, 61438 MiB
2026/09/10 01:42:45.058, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.38 W, 0 %, 61438 MiB
2026/09/10 01:42:46.059, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.38 W, 0 %, 61438 MiB
2026/09/10 01:42:47.059, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:42:48.059, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.56 W, 0 %, 61438 MiB
2026/09/10 01:42:49.059, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.38 W, 0 %, 61438 MiB
2026/09/10 01:42:50.060, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.42 W, 0 %, 61438 MiB
2026/09/10 01:42:51.060, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.52 W, 0 %, 61438 MiB
2026/09/10 01:42:52.060, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.51 W, 0 %, 61438 MiB
2026/09/10 01:42:53.060, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.44 W, 0 %, 61438 MiB
