cell_id,n_workflows,state_scale,prefill_capacity,link_gbps,policy,p50_resume_s,p90_resume_s,p95_resume_s,makespan_s,dominant_bottleneck
n10_medium_loose_25g,10,medium,loose,25,replay_all,2.5,4.5,4.75,5,workspace
n10_medium_loose_25g,10,medium,loose,25,kv_all,2.5030357,4.50546426,4.75576783,5.0060714,network
n10_medium_loose_25g,10,medium,loose,25,workspace_sticky,2.5,4.5,4.75,5,workspace
n10_medium_loose_25g,10,medium,loose,25,random_diversification,1.5,2.7,2.85,3,workspace
n10_medium_loose_25g,10,medium,loose,25,mixed_min_pressure,1.25,2.25,2.375,2.5,workspace
n10_medium_loose_100g,10,medium,loose,100,strong_reuse,2.5,4.5,4.75,5,workspace
n10_medium_loose_100g,10,medium,loose,100,replay_all,2.5,4.5,4.75,5,workspace
n10_medium_loose_100g,10,medium,loose,100,kv_all,2.5,4.5,4.75,5,workspace
n10_medium_loose_100g,10,medium,loose,100,workspace_sticky,2.5,4.5,4.75,5,workspace
n10_medium_loose_100g,10,medium,loose,100,random_diversification,1.5,2.7,2.85,3,workspace
n10_medium_loose_100g,10,medium,loose,100,mixed_min_pressure,1.25,2.25,2.375,2.5,workspace
n10_medium_moderate_1g,10,medium,moderate,1,strong_reuse,20,36,38,40,network
n10_medium_moderate_1g,10,medium,moderate,1,replay_all,20,36,38,40,network
n10_medium_moderate_1g,10,medium,moderate,1,kv_all,62.5758925,112.636606,118.894196,125.151785,network
n10_medium_moderate_1g,10,medium,moderate,1,workspace_sticky,2.5,4.5,4.75,5,workspace
n10_medium_moderate_1g,10,medium,moderate,1,random_diversification,17.48147,31.4666459,33.2147929,34.9629399,network
n10_medium_moderate_1g,10,medium,moderate,1,mixed_min_pressure,1.25,2.25,2.375,2.5,workspace
n10_medium_moderate_5g,10,medium,moderate,5,strong_reuse,4,7.2,7.6,8,network
n10_medium_moderate_5g,10,medium,moderate,5,replay_all,4,7.2,7.6,8,network
n10_medium_moderate_5g,10,medium,moderate,5,kv_all,12.5151785,22.5273213,23.7788391,25.030357,network
n10_medium_moderate_5g,10,medium,moderate,5,workspace_sticky,2.5,4.5,4.75,5,workspace
n10_medium_moderate_5g,10,medium,moderate,5,random_diversification,3.49629399,6.29332918,6.64295858,6.99258798,network
n10_medium_moderate_5g,10,medium,moderate,5,mixed_min_pressure,1.25,2.25,2.375,2.5,workspace
n10_medium_moderate_25g,10,medium,moderate,25,strong_reuse,2.5,4.5,4.75,5,workspace
n10_medium_moderate_25g,10,medium,moderate,25,replay_all,2.5,4.5,4.75,5,workspace
n10_medium_moderate_25g,10,medium,moderate,25,kv_all,2.5030357,4.50546426,4.75576783,5.0060714,network
n10_medium_moderate_25g,10,medium,moderate,25,workspace_sticky,2.5,4.5,4.75,5,workspace
n10_medium_moderate_25g,10,medium,moderate,25,random_diversification,1.5,2.7,2.85,3,workspace
n10_medium_moderate_25g,10,medium,moderate,25,mixed_min_pressure,1.25,2.25,2.375,2.5,workspace
n10_medium_moderate_100g,10,medium,moderate,100,strong_reuse,2.5,4.5,4.75,5,workspace
n10_medium_moderate_100g,10,medium,moderate,100,replay_all,2.5,4.5,4.75,5,workspace
n10_medium_moderate_100g,10,medium,moderate,100,kv_all,2.5,4.5,4.75,5,workspace
n10_medium_moderate_100g,10,medium,moderate,100,workspace_sticky,2.5,4.5,4.75,5,workspace
n10_medium_moderate_100g,10,medium,moderate,100,random_diversification,1.5,2.7,2.85,3,workspace
n10_medium_moderate_100g,10,medium,moderate,100,mixed_min_pressure,1.75,3.15,3.325,3.5,workspace
n10_medium_tight_1g,10,medium,tight,1,strong_reuse,20,36,38,40,network
n10_medium_tight_1g,10,medium,tight,1,replay_all,20,36,38,40,network
n10_medium_tight_1g,10,medium,tight,1,kv_all,62.5758925,112.636606,118.894196,125.151785,network
n10_medium_tight_1g,10,medium,tight,1,workspace_sticky,2.51075,4.51935,4.770425,5.0215,prefill
n10_medium_tight_1g,10,medium,tight,1,random_diversification,17.48147,31.4666459,33.2147929,34.9629399,network
n10_medium_tight_1g,10,medium,tight,1,mixed_min_pressure,1.26381667,2.27487,2.40125167,2.52763333,prefill
n10_medium_tight_5g,10,medium,tight,5,strong_reuse,4,7.2,7.6,8,network
n10_medium_tight_5g,10,medium,tight,5,replay_all,4,7.2,7.6,8,network
n10_medium_tight_5g,10,medium,tight,5,kv_all,12.5151785,22.5273213,23.7788391,25.030357,network
n10_medium_tight_5g,10,medium,tight,5,workspace_sticky,2.51075,4.51935,4.770425,5.0215,prefill
n10_medium_tight_5g,10,medium,tight,5,random_diversification,3.49629399,6.29332918,6.64295858,6.99258798,network
n10_medium_tight_5g,10,medium,tight,5,mixed_min_pressure,1.25,2.25,2.375,2.5,workspace
n10_medium_tight_25g,10,medium,tight,25,strong_reuse,2.5030357,4.50546426,4.75576783,5.0060714,network
n10_medium_tight_25g,10,medium,tight,25,replay_all,2.51075,4.51935,4.770425,5.0215,prefill
n10_medium_tight_25g,10,medium,tight,25,kv_all,2.5030357,4.50546426,4.75576783,5.0060714,network
n10_medium_tight_25g,10,medium,tight,25,workspace_sticky,2.5,4.5,4.75,5,workspace
n10_medium_tight_25g,10,medium,tight,25,random_diversification,1.5,2.7,2.85,3,workspace
n10_medium_tight_25g,10,medium,tight,25,mixed_min_pressure,1.25,2.25,2.375,2.5,workspace
n10_medium_tight_100g,10,medium,tight,100,strong_reuse,2.5,4.5,4.75,5,workspace
n10_medium_tight_100g,10,medium,tight,100,replay_all,2.51075,4.51935,4.770425,5.0215,prefill
n10_medium_tight_100g,10,medium,tight,100,kv_all,2.5,4.5,4.75,5,workspace
n10_medium_tight_100g,10,medium,tight,100,workspace_sticky,2.5,4.5,4.75,5,workspace
n10_medium_tight_100g,10,medium,tight,100,random_diversification,1.5,2.7,2.85,3,workspace
n10_medium_tight_100g,10,medium,tight,100,mixed_min_pressure,1.25,2.25,2.375,2.5,workspace
n10_monorepo_loose_1g,10,monorepo,loose,1,strong_reuse,200,360,380,400,network
n10_monorepo_loose_1g,10,monorepo,loose,1,replay_all,200,360,380,400,network
n10_monorepo_loose_1g,10,monorepo,loose,1,kv_all,242.575892,436.636606,460.894196,485.151785,network
n10_monorepo_loose_1g,10,monorepo,loose,1,workspace_sticky,25,45,47.5,50,workspace
n10_monorepo_loose_1g,10,monorepo,loose,1,random_diversification,124.022305,223.240149,235.642379,248.04461,network
n10_monorepo_loose_1g,10,monorepo,loose,1,mixed_min_pressure,12.5,22.5,23.75,25,workspace
n10_monorepo_loose_5g,10,monorepo,loose,5,strong_reuse,40,72,76,80,network
n10_monorepo_loose_5g,10,monorepo,loose,5,replay_all,40,72,76,80,network
