workload,load,wan_gbps,deadline_s,policy,minimum_qh_gap_fraction,median_qh_gap_fraction
measured_pack,0.5,reference,10,kv_only,0.25233414066850784,0.276913133011607
measured_pack,0.5,reference,10,replay_only,-1.1657341758564144e-15,-1.1102230246251565e-15
measured_pack,0.5,reference,30,greedy,0.17200162436529443,0.18760211279310968
measured_pack,0.5,reference,30,isolated_fastest,-5.4703966639646495e-05,-5.456974115136681e-05
measured_pack,0.5,reference,30,kv_only,0.9997430199036963,0.9997449541413903
measured_pack,0.5,reference,30,replay_only,-5.4703966639646495e-05,-5.456974115136681e-05
measured_pack,0.5,reference,60,greedy,-5.842640329634108e-05,-5.5630141065576844e-05
measured_pack,0.5,reference,60,isolated_fastest,-5.842540329692447e-05,-5.562914106616024e-05
measured_pack,0.5,reference,60,kv_only,0.9994447425329137,0.999463149959291
measured_pack,0.5,reference,60,replay_only,-5.842540329692447e-05,-5.562914106616024e-05
measured_pack,0.5,reference,120,greedy,-7.818062890851962e-05,-1.7896286058971533e-05
measured_pack,0.5,reference,120,isolated_fastest,-7.817962890910302e-05,-1.7895286059554927e-05
measured_pack,0.5,reference,120,kv_only,0.998978989608757,0.9989917571500819
measured_pack,0.5,reference,120,replay_only,-7.817962890910302e-05,-1.7895286059554927e-05
measured_pack,0.5,reference,300,greedy,-0.00016813023202377764,-4.8274486885047097e-05
measured_pack,0.5,reference,300,isolated_fastest,-0.00016812923202380592,-4.827348688507538e-05
measured_pack,0.5,reference,300,kv_only,0.9974460477253052,0.9974628797711975
measured_pack,0.5,reference,300,replay_only,-0.00016812923202380592,-4.827348688507538e-05
measured_pack,0.5,reference,600,greedy,-0.00034410611351876064,-9.246604998747188e-05
measured_pack,0.5,reference,600,isolated_fastest,-0.0003441051135187889,-9.246504998750016e-05
measured_pack,0.5,reference,600,kv_only,0.9948981353805108,0.9949238755193945
measured_pack,0.5,reference,600,replay_only,-0.0003441051135187889,-9.246504998750016e-05
measured_pack,0.5,reference,1800,greedy,-0.0007860074796229854,-0.00028171466015414204
measured_pack,0.5,reference,1800,isolated_fastest,-0.0007860064796230137,-0.0002817136601541703
