monotonic_ns,wall_ns,power_w,utilization_pct,memory_mib
5739701984100,1786471006180647661,135.6,100.0,89111.0
5739826817168,1786471006305480779,137.37,100.0,89111.0
5739951602707,1786471006430266258,137.63,100.0,89111.0
5740076493726,1786471006555157477,136.41,100.0,89111.0
5740201810169,1786471006680473900,136.4,100.0,89111.0
5740326369306,1786471006805033087,134.42,100.0,89111.0
5740451274885,1786471006929938546,135.45,100.0,89111.0
5740576154184,1786471007054817935,133.84,100.0,89111.0
5740701327711,1786471007179991412,135.96,100.0,89111.0
5740826215980,1786471007304879731,134.46,100.0,89111.0
5740951102490,1786471007429766171,133.91,100.0,89111.0
5741076151520,1786471007554815151,135.3,100.0,89111.0
5741200975859,1786471007679639460,134.29,100.0,89111.0
5741325798738,1786471007804462379,136.76,100.0,89111.0
5741450439685,1786471007929103236,135.85,100.0,89111.0
5741575392485,1786471008054056026,137.26,100.0,89111.0
5741700072852,1786471008178736653,135.59,100.0,89111.0
5741825477231,1786471008304141052,135.62,100.0,89111.0
5741950114663,1786471008428778424,137.03,100.0,89111.0
5742074855506,1786471008553519207,136.63,100.0,89111.0
5742200271995,1786471008678935876,135.16,100.0,89111.0
5742325171959,1786471008803835520,135.34,100.0,89111.0
5742449811131,1786471008928474822,135.82,100.0,89111.0
5742574612165,1786471009053275986,136.96,100.0,89111.0
5742699585120,1786471009178248821,137.8,100.0,89111.0
5742824227752,1786471009302891353,137.88,100.0,89111.0
5742949322418,1786471009427986179,136.71,100.0,89111.0
5743074366304,1786471009553030005,136.91,100.0,89111.0
5743199303379,1786471009677967110,136.17,100.0,89111.0
5743324634677,1786471009803298358,135.91,100.0,89111.0
5743449635712,1786471009928299243,136.37,100.0,89111.0
5743574582847,1786471010053246398,135.57,100.0,89111.0
5743699463641,1786471010178127352,135.93,100.0,89111.0
5743824050752,1786471010302714453,136.32,100.0,89111.0
5743948683934,1786471010427347475,135.23,100.0,89111.0
5744073378097,1786471010552041698,136.37,100.0,89111.0
5744197971809,1786471010676635460,134.85,100.0,89111.0
5744322837363,1786471010801501194,135.22,100.0,89111.0
5744447867818,1786471010926531529,133.82,100.0,89111.0
5744572772043,1786471011051435764,135.1,100.0,89111.0
5744697764408,1786471011176428039,134.65,100.0,89111.0
5744822550821,1786471011301214602,135.09,100.0,89111.0
5744947226013,1786471011425889784,134.27,100.0,89111.0
5745072465779,1786471011551129240,134.34,100.0,89111.0
5745197610290,1786471011676273941,135.95,100.0,89111.0
5745322253707,1786471011800917358,134.84,100.0,89111.0
5745447251936,1786471011925915787,136.35,100.0,89111.0
5745571752161,1786471012050415822,136.43,100.0,89111.0
5745697149765,1786471012175813446,135.99,100.0,89111.0
5745821728730,1786471012300392571,134.98,100.0,89111.0
5745946018024,1786471012424681755,131.95,82.0,89111.0
5746070129336,1786471012548792907,129.2,82.0,89111.0
5746194963164,1786471012673626885,119.8,0.0,89111.0
5746319786532,1786471012798450373,119.26,5.0,89111.0
5746444844117,1786471012923507748,117.99,5.0,89111.0
5746569413623,1786471013048077444,116.66,100.0,89111.0
5746694615899,1786471013173279650,115.71,100.0,89111.0
5746819324372,1786471013297988063,113.43,100.0,89111.0
5746944137835,1786471013422801446,115.27,100.0,89111.0
5747068741576,1786471013547405317,118.64,100.0,89111.0
5747193418457,1786471013672082248,125.66,100.0,89111.0
5747318297271,1786471013796961002,125.11,100.0,89111.0
5747443266950,1786471013921930501,122.91,100.0,89111.0
5747568198740,1786471014046862411,120.26,100.0,89111.0
5747693149409,1786471014171813040,118.55,100.0,89111.0
5747817914936,1786471014296578757,116.88,100.0,89111.0
5747942597763,1786471014421261424,116.0,100.0,89111.0
5748067442781,1786471014546106452,114.33,100.0,89111.0
5748192361040,1786471014671024641,109.45,100.0,89111.0
5748317318780,1786471014795982531,108.84,100.0,89111.0
5748442183619,1786471014920847270,108.89,100.0,89111.0
5748567039497,1786471015045703188,109.0,100.0,89111.0
5748691996476,1786471015170660117,109.56,100.0,89111.0
