scenario_id,match_id,condition,method,repeat,source_gpu,pre_window_power_w,post_window_power_w,pre_settle_gap_s,post_trace_after_switch_s,valid_settled_windows,measurement_kind,requested_shed_w,predicted_shed_w,measured_shed_w,predicted_percent,measured_percent
p-988fe41565498edd,c766c8b3e6b695e4,large-fixed-10000mbps-19s,queue_haul_power_blind,116,0,290.05373730856,82.94540201252,0.005104365,6.667151553,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,207.10833529604002,100.0,132.33747028380813
p-9c40d929a7f1b57f,c766c8b3e6b695e4,large-fixed-10000mbps-19s,queue_haul,116,0,237.53907303127997,82.7,0.004772641,6.523077046,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,154.83907303127995,100.0,98.93861199144699
p-33540c15e0d82c6d,68dd795651c95331,tiny-fixed-2500mbps-19s,greedy,7,0,123.89893900163,82.97,0.058049797,2.74851296,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,40.92893900163,100.0,26.152652142820685
p-02d7550df635b72f,68dd795651c95331,tiny-fixed-2500mbps-19s,isolated_fastest,7,0,173.82806206523,81.44085129506,0.062081807,2.719325288,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,92.38721077017,100.0,59.03330613142668
p-43e6e60189d7c3c0,68dd795651c95331,tiny-fixed-2500mbps-19s,queue_haul,7,0,158.0316650423,81.67051990840999,0.059272937,2.737470887,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,76.36114513389002,100.0,48.79301820735049
p-8b525b7e635b026b,68dd795651c95331,tiny-fixed-2500mbps-19s,queue_haul_deadline_blind,7,0,111.92393235657,81.79251952954999,0.055417578,2.747875718,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,30.131412827020014,100.0,19.253280868223747
p-e554e4a6af00aca8,68dd795651c95331,tiny-fixed-2500mbps-19s,queue_haul_power_blind,7,0,159.33976880411998,81.77,0.054310669,2.763634762,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,77.56976880411999,100.0,49.56530097817542
p-90149c1ba94effe3,2b44a4b4aaf8491e,small-fixed-1000mbps-19s,queue_haul_deadline_blind,26,0,173.13221688596002,81.15549713177,0.064107086,2.810087733,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,91.97671975419001,100.0,58.771011798601435
p-6813febbc9cc350f,2b44a4b4aaf8491e,small-fixed-1000mbps-19s,queue_haul,26,0,136.83358927233,81.59514516272,0.064035147,2.790420106,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,55.238444109609986,100.0,35.29609730786669
p-e011b13f4fdba13d,2b44a4b4aaf8491e,small-fixed-1000mbps-19s,isolated_fastest,26,0,180.31352010415998,81.68723266270999,0.067052106,2.717365923,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,98.62628744144999,100.0,63.019932852189584
p-c9b25a303e43bab8,2b44a4b4aaf8491e,small-fixed-1000mbps-19s,greedy,26,0,177.04570091868996,81.33003511484002,0.064048776,2.765533045,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,95.71566580384994,100.0,61.16011246435863
